name,category,address,lat,lng,rating,user_ratings_total,price_level,summary,phone,website,opening_hours,place_id
Bara 2.Noll,Lounge,"Götgatan 103, 116 62 Stockholm, Sweden",59.30718129999999,18.0771917,4.1,243,MODERATE,,08-669 58 55,https://www.baras.se/stockholm/bara2noll/,Monday: 3:00 PM – 1:00 AM; Tuesday: 3:00 PM – 1:00 AM; Wednesday: 3:00 PM – 1:00 AM; Thursday: 3:00 PM – 1:00 AM; Friday: 3:00 PM – 1:00 AM; Saturday: 3:00 PM – 1:00 AM; Sunday: 3:00 PM – 1:00 AM,ChIJFxF9Ffp3X0YRIh_1c9LP--4
Huset Under Bron,Club,"Hammarby Slussväg 2, 118 60 Stockholm, Sweden",59.304317,18.0788127,3.4,361,MODERATE,,08-644 20 23,https://underbron.com/,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 10:00 PM – 5:00 AM; Saturday: 10:00 PM – 5:00 AM; Sunday: Closed,ChIJjRQqr_V3X0YRN6Zv-c4osaI
"Patricia Stockholm - nightclub, bar, karaoke & party venue",Club,"SöderMälarstrand Kajplats 19, 118 25 Stockholm, Sweden",59.3213806,18.0525306,3.2,1589,MODERATE,"Set on a restored navy ship, this longtime upscale eatery is known for its steak & seafood dinners.",073-652 72 82,http://www.patriciastockholm.se/,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 8:00 PM – 5:00 AM; Saturday: 8:00 PM – 5:00 AM; Sunday: 8:00 PM – 5:00 AM,ChIJKai7pPx3X0YRFvyqnoBXIwQ
Spice 99,Club,"Götgatan 99, 116 62 Stockholm, Sweden",59.30756409999999,18.0769968,4.2,22,,,,https://www.instagram.com/spice99_4ever/,Monday: Closed; Tuesday: Closed; Wednesday: 9:00 PM – 3:00 AM; Thursday: Closed; Friday: 9:00 PM – 3:00 AM; Saturday: 9:00 PM – 3:00 AM; Sunday: Closed,ChIJNXifYAB3X0YRWP95ieqeAk0
Restaurant Akkurat - Södermalm,Beer Bar,"Hornsgatan 18, 118 20 Stockholm, Sweden",59.3198621,18.0686914,4.4,4393,MODERATE,"Huge choice of ales & malt whiskies in a lively tavern, plus hearty pub fare & live bands.",08-644 00 15,https://akkurat.se/?utm_source=google,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 12:00 AM; Thursday: 11:00 AM – 12:00 AM; Friday: 11:00 AM – 1:00 AM; Saturday: 1:00 PM – 1:00 AM; Sunday: 3:00 – 10:00 PM,ChIJg8hO9cR3X0YRWLVKnRc3Aok
Tapas Bar El Vasko,Tapas Bar,"118 20 Stockholm, Sweden",59.32009869999999,18.0702285,4.7,22,,,,,,ChIJuxDtoOR3X0YR5HZi1ix1dso
Vinvalvet 1644 Tapas Bar,Tapas Bar,"Södermalmstorg 8, 118 20 Stockholm, Sweden",59.3201095,18.0702225,4.2,415,MODERATE,,08-642 12 50,https://www.vinvalvet.se/,Monday: 3:30 – 10:00 PM; Tuesday: 3:30 – 11:00 PM; Wednesday: 3:30 – 11:00 PM; Thursday: 3:30 – 11:00 PM; Friday: 3:30 PM – 12:00 AM; Saturday: 1:00 PM – 12:00 AM; Sunday: Closed,ChIJsQguoeR3X0YRAS8XAjR_WZM
Aleks y Filip - Spansk restaurang,Tapas Bar,"Bjälbogatan 32, 118 66 Stockholm, Sweden",59.3118689,18.065522599999998,4.8,1123,,,08-720 13 75,https://aleksfilip.se/?utm_source=google,Monday: Closed; Tuesday: 5:00 – 10:30 PM; Wednesday: 5:00 – 10:30 PM; Thursday: 5:00 – 10:30 PM; Friday: 5:00 – 11:00 PM; Saturday: 5:00 – 11:00 PM; Sunday: Closed,ChIJAyNGmH13X0YRim1S3X78OEU
Racamaca,Tapas Bar,"Wollmar Yxkullsgatan 5B, 118 50 Stockholm, Sweden",59.31686579999999,18.063931,4.5,665,MODERATE,"Spanish sharing plates, wine & beer dished up in an intimate, trendy destination.",,http://www.racamaca.se/,Monday: 5:00 – 10:00 PM; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 10:00 PM; Thursday: 5:00 – 10:00 PM; Friday: 5:00 – 11:00 PM; Saturday: 5:00 – 11:00 PM; Sunday: Closed,ChIJkfaso-V3X0YRkGSPRG_Q7sc
Madrid TapasBar- spansk restaurang på söder,Tapas Bar,"Hornsgatan 64B, 118 21 Stockholm, Sweden",59.318742199999996,18.060064,4.1,940,MODERATE,,073-689 28 33,https://madridtapasbar.se/,Monday: Closed; Tuesday: 4:00 – 11:00 PM; Wednesday: 4:00 – 11:00 PM; Thursday: 4:00 – 11:00 PM; Friday: 3:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 2:00 – 10:00 PM,ChIJ84W8huZ3X0YRsc8jbgyjg2Q
La Plaza,Tapas Bar,"Kornhamnstorg 53, 111 27 Stockholm, Sweden",59.3228836,18.071776,4,159,,,08-20 90 33,https://laplaza.se/?utm_source=google,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 – 10:00 PM,ChIJm58yPAB3X0YRmQuLl1ron1A
